zipcode,rate,
64148,,64148
67118,,67118
40813,,40813
18229,,18229
51012,,51012
79168,,79168
54923,,54923
67651,,67651
49448,,49448
27702,,27702
47387,,47387
50014,,50014
33608,,33608
6239,,6239
54919,,54919
46706,,46706
14846,,14846
48872,,48872
43343,,43343
77052,,77052
7734,,7734
95327,,95327
12961,,12961
26716,,26716
48435,,48435
53181,,53181
52654,,52654
58703,,58703
91945,,91945
52146,,52146
56097,,56097
21777,,21777
42330,,42330
38849,,38849
77586,,77586
39745,,39745
3299,,3299
63359,,63359
60094,,60094
15935,,15935
39845,,39845
48418,,48418
28411,,28411
37333,,37333
75939,,75939
7184,,7184
86313,,86313
61232,,61232
20047,,20047
47452,,47452
31551,,31551
